profile	index	line	unicode	font	gid	x	y	advance
cyrillic	11	0	002E	NotoSans-Regular	17	145.644	707.196	3.216
cyrillic	12	1	042F	NotoSans-Regular	455	72.000	659.196	7.668
cyrillic	13	1	002D	NotoSans-Regular	16	79.668	659.196	3.864
cyrillic	14	1	042F	NotoSans-Regular	455	83.532	659.196	7.668
cyrillic	15	1	0020	NotoSans-Regular	3	91.200	659.196	3.120
cyrillic	16	1	042F	NotoSans-Regular	455	94.320	659.196	7.668
cjk-sc	0	0	9AA8	NotoSansCJKSC-Regular	45133	72.000	698.304	12.000
cjk-sc	1	0	9AA8	NotoSansCJKSC-Regular	45133	84.000	698.304	12.000
cjk-sc	2	0	FF08	NotoSansCJKSC-Regular	59054	96.000	698.304	12.000
cjk-sc	3	0	9AA8	NotoSansCJKSC-Regular	45133	108.000	698.304	12.000
cjk-sc	4	1	9AA8	NotoSansCJKSC-Regular	45133	72.000	650.304	12.000
cjk-sc	5	1	FF09	NotoSansCJKSC-Regular	59055	84.000	650.304	12.000
cjk-sc	6	1	9AA8	NotoSansCJKSC-Regular	45133	96.000	650.304	12.000
cjk-sc	7	2	9AA8	NotoSansCJKSC-Regular	45133	72.000	602.304	12.000
cjk-sc	8	2	3002	NotoSansCJKSC-Regular	1398	84.000	602.304	12.000
cjk-sc	9	3	7B80	NotoSansCJKSC-Regular	29967	72.000	554.304	12.000
cjk-sc	10	3	4F53	NotoSansCJKSC-Regular	9966	84.000	554.304	12.000
cjk-sc	11	3	4E2D	NotoSansCJKSC-Regular	9544	96.000	554.304	12.000
cjk-sc	12	3	6587	NotoSansCJKSC-Regular	20036	108.000	554.304	12.000
cjk-sc	13	3	0020	NotoSans-Regular	3	120.000	554.304	3.120
cjk-sc	14	3	9AA8	NotoSansCJKSC-Regular	45133	123.120	554.304	12.000
cjk-tc	0	0	9AA8	NotoSansCJKTC-Regular	45134	72.000	698.304	12.000
cjk-tc	1	0	9AA8	NotoSansCJKTC-Regular	45134	84.000	698.304	12.000
cjk-tc	2	0	FF08	NotoSansCJKTC-Regular	59054	96.000	698.304	12.000
cjk-tc	3	0	9AA8	NotoSansCJKTC-Regular	45134	108.000	698.304	12.000
cjk-tc	4	1	9AA8	NotoSansCJKTC-Regular	45134	72.000	650.304	12.000
cjk-tc	5	1	FF09	NotoSansCJKTC-Regular	59055	84.000	650.304	12.000
cjk-tc	6	1	9AA8	NotoSansCJKTC-Regular	45134	96.000	650.304	12.000
cjk-tc	7	2	9AA8	NotoSansCJKTC-Regular	45134	72.000	602.304	12.000
cjk-tc	8	2	3002	NotoSansCJKTC-Regular	63146	84.000	602.304	12.000
cjk-tc	9	3	7E41	NotoSansCJKTC-Regular	31477	72.000	554.304	12.000
cjk-tc	10	3	9AD4	NotoSansCJKTC-Regular	45257	84.000	554.304	12.000
cjk-tc	11	3	4E2D	NotoSansCJKTC-Regular	9544	96.000	554.304	12.000
cjk-tc	12	3	6587	NotoSansCJKTC-Regular	20036	108.000	554.304	12.000
cjk-tc	13	3	0020	NotoSans-Regular	3	120.000	554.304	3.120
cjk-tc	14	3	9AA8	NotoSansCJKTC-Regular	45134	123.120	554.304	12.000
cjk-jp	0	0	9AA8	NotoSansCJKJP-Regular	45132	72.000	698.304	12.000
cjk-jp	1	0	9AA8	NotoSansCJKJP-Regular	45132	84.000	698.304	12.000
cjk-jp	2	0	FF08	NotoSansCJKJP-Regular	59054	96.000	698.304	12.000
cjk-jp	3	0	9AA8	NotoSansCJKJP-Regular	45132	108.000	698.304	12.000
cjk-jp	4	1	9AA8	NotoSansCJKJP-Regular	45132	72.000	650.304	12.000
cjk-jp	5	1	FF09	NotoSansCJKJP-Regular	59055	84.000	650.304	12.000
cjk-jp	6	1	9AA8	NotoSansCJKJP-Regular	45132	96.000	650.304	12.000
cjk-jp	7	2	9AA8	NotoSansCJKJP-Regular	45132	72.000	602.304	12.000
cjk-jp	8	2	3002	NotoSansCJKJP-Regular	1398	84.000	602.304	12.000
cjk-jp	9	3	65E5	NotoSansCJKJP-Regular	20220	72.000	554.304	12.000
cjk-jp	10	3	672C	NotoSansCJKJP-Regular	20758	84.000	554.304	12.000
cjk-jp	11	3	8A9E	NotoSansCJKJP-Regular	37860	96.000	554.304	12.000
cjk-jp	12	3	0020	NotoSans-Regular	3	108.000	554.304	3.120
cjk-jp	13	3	304B	NotoSansCJKJP-Regular	1470	111.120	554.304	12.000
cjk-jp	14	3	306A	NotoSansCJKJP-Regular	1501	123.120	554.304	12.000
cjk-jp	15	3	30AB	NotoSansCJKJP-Regular	1564	135.120	554.304	12.000
cjk-jp	16	3	30CA	NotoSansCJKJP-Regular	1595	147.120	554.304	12.000
cjk-jp	17	3	0020	NotoSans-Regular	3	159.120	554.304	3.120
cjk-jp	18	3	9AA8	NotoSansCJKJP-Regular	45132	162.240	554.304	12.000
cjk-kr	0	0	9AA8	NotoSansCJKKR-Regular	45132	72.000	698.304	12.000
cjk-kr	1	0	9AA8	NotoSansCJKKR-Regular	45132	84.000	698.304	12.000
cjk-kr	2	0	FF08	NotoSansCJKKR-Regular	59054	96.000	698.304	12.000
cjk-kr	3	0	9AA8	NotoSansCJKKR-Regular	45132	108.000	698.304	12.000
cjk-kr	4	1	9AA8	NotoSansCJKKR-Regular	45132	72.000	650.304	12.000
cjk-kr	5	1	FF09	NotoSansCJKKR-Regular	59055	84.000	650.304	12.000
cjk-kr	6	1	9AA8	NotoSansCJKKR-Regular	45132	96.000	650.304	12.000
cjk-kr	7	2	9AA8	NotoSansCJKKR-Regular	45132	72.000	602.304	12.000
cjk-kr	8	2	3002	NotoSansCJKKR-Regular	1398	84.000	602.304	12.000
cjk-kr	9	3	D55C	NotoSansCJKKR-Regular	58199	72.000	554.304	11.040
cjk-kr	10	3	AD6D	NotoSansCJKKR-Regular	47976	83.040	554.304	11.040
cjk-kr	11	3	C5B4	NotoSansCJKKR-Regular	54191	94.080	554.304	11.040
cjk-kr	12	3	0020	NotoSans-Regular	3	105.120	554.304	3.120
cjk-kr	13	3	D55C	NotoSansCJKKR-Regular	58199	108.240	554.304	11.040
cjk-kr	14	3	AE00	NotoSansCJKKR-Regular	48123	119.280	554.304	11.040
cjk-kr	15	3	0020	NotoSans-Regular	3	130.320	554.304	3.120
cjk-kr	16	3	9AA8	NotoSansCJKKR-Regular	45132	133.440	554.304	12.000
cjk-kr	17	4	1100	NotoSansCJKKR-Regular	372	72.000	506.304	11.040
cjk-kr	18	4	1161	NotoSansCJKKR-Regular	469	83.040	506.304	11.040
cjk-kr	19	5	1102	NotoSansCJKKR-Regular	374	72.000	458.304	11.040
cjk-kr	20	5	1161	NotoSansCJKKR-Regular	469	83.040	458.304	11.040
