profile	page	paragraph	line	run	run_start	run_hex	font	direction	gid	cluster_start	cluster_end	ax	ay	dx	dy	x	y	script	language
hebrew	4	3	4	2	0	05e905b805c1	NotoSansHebrew-Regular.ttf	rtl	96	0	3	730	0	0	0	27.120	155.196	Hebr	he
hebrew	4	3	5	1	4	05e905b805c1	NotoSansHebrew-Regular.ttf	rtl	79	4	7	0	0	227	0	26.724	110.160	Hebr	he
hebrew	4	3	5	1	4	05e905b805c1	NotoSansHebrew-Regular.ttf	rtl	100	4	7	0	0	539	0	30.468	110.160	Hebr	he
hebrew	4	3	5	1	4	05e905b805c1	NotoSansHebrew-Regular.ttf	rtl	96	4	7	730	0	0	0	24.000	110.160	Hebr	he
hebrew	4	4	6	1	0	05e9002005b8	NotoSansHebrew-Regular.ttf	rtl	79	1	3	0	0	0	0	24.000	62.160	Hebr	he
hebrew	4	4	6	1	0	05e9002005b8	NotoSansHebrew-Regular.ttf	rtl	106	1	3	270	0	0	0	24.000	62.160	Hebr	he
hebrew	4	4	6	1	0	05e9002005b8	NotoSansHebrew-Regular.ttf	rtl	96	0	1	730	0	0	0	27.240	62.160	Hebr	he
devanagari	5	0	1	1	0	0915094d0937093f	NotoSansDevanagari-Regular.ttf	ltr	610	0	4	259	0	0	0	24.000	151.836	Deva	hi
devanagari	5	0	1	1	0	0915094d0937093f	NotoSansDevanagari-Regular.ttf	ltr	179	0	4	712	0	0	0	27.108	151.836	Deva	hi
devanagari	5	1	2	1	0	0915093f0902	NotoSansDevanagari-Regular.ttf	ltr	619	0	3	259	0	0	0	24.000	103.836	Deva	hi
devanagari	5	1	2	1	0	0915093f0902	NotoSansDevanagari-Regular.ttf	ltr	25	0	3	762	0	0	0	27.108	103.836	Deva	hi
devanagari	5	1	2	1	0	0915093f0902	NotoSansDevanagari-Regular.ttf	ltr	652	0	3	0	0	0	0	36.252	103.836	Deva	hi
devanagari	5	2	3	1	0	00410020	NotoSans-Regular.ttf	ltr	36	0	1	639	0	0	0	24.000	55.836	Latn	en
devanagari	5	2	3	1	0	00410020	NotoSans-Regular.ttf	ltr	3	1	2	260	0	0	0	31.668	55.836	Latn	en
devanagari	5	2	3	2	2	0915093f0902	NotoSansDevanagari-Regular.ttf	ltr	619	2	5	259	0	0	0	34.788	55.836	Deva	hi
devanagari	5	2	3	2	2	0915093f0902	NotoSansDevanagari-Regular.ttf	ltr	25	2	5	762	0	0	0	37.896	55.836	Deva	hi
devanagari	5	2	3	2	2	0915093f0902	NotoSansDevanagari-Regular.ttf	ltr	652	2	5	0	0	0	0	47.040	55.836	Deva	hi
devanagari	5	2	3	3	5	00200042	NotoSans-Regular.ttf	ltr	3	5	6	260	0	0	0	47.040	55.836	Latn	en
devanagari	5	2	3	3	5	00200042	NotoSans-Regular.ttf	ltr	37	6	7	650	0	0	0	50.160	55.836	Latn	en
devanagari	6	3	4	1	0	0915093f0902	NotoSansDevanagari-Regular.ttf	ltr	619	0	3	259	0	0	0	24.000	151.836	Deva	hi
devanagari	6	3	4	1	0	0915093f0902	NotoSansDevanagari-Regular.ttf	ltr	25	0	3	762	0	0	0	27.108	151.836	Deva	hi
devanagari	6	3	4	1	0	0915093f0902	NotoSansDevanagari-Regular.ttf	ltr	652	0	3	0	0	0	0	36.252	151.836	Deva	hi
devanagari	6	3	4	2	3	0020	NotoSans-Regular.ttf	ltr	3	3	4	260	0	0	0	36.252	151.836	Latn	en
devanagari	6	3	5	1	4	0915093f0902	NotoSansDevanagari-Regular.ttf	ltr	619	4	7	259	0	0	0	24.000	103.836	Deva	hi
devanagari	6	3	5	1	4	0915093f0902	NotoSansDevanagari-Regular.ttf	ltr	25	4	7	762	0	0	0	27.108	103.836	Deva	hi
devanagari	6	3	5	1	4	0915093f0902	NotoSansDevanagari-Regular.ttf	ltr	652	4	7	0	0	0	0	36.252	103.836	Deva	hi
devanagari	6	4	6	1	0	09150020093f	NotoSansDevanagari-Regular.ttf	ltr	25	0	1	762	0	0	0	24.000	55.836	Deva	hi
devanagari	6	4	6	1	0	09150020093f	NotoSansDevanagari-Regular.ttf	ltr	3	1	3	260	0	0	0	33.144	55.836	Deva	hi
devanagari	6	4	6	1	0	09150020093f	NotoSansDevanagari-Regular.ttf	ltr	67	1	3	259	0	0	0	36.264	55.836	Deva	hi
devanagari	6	4	6	1	0	09150020093f	NotoSansDevanagari-Regular.ttf	ltr	134	1	3	510	0	0	0	39.372	55.836	Deva	hi
thai	7	0	1	1	0	0e190e490e33	NotoSansThai-Regular.ttf	ltr	71	0	3	613	0	0	0	24.000	155.892	Thai	th
thai	7	0	1	1	0	0e190e490e33	NotoSansThai-Regular.ttf	ltr	59	0	3	0	0	0	0	31.356	155.892	Thai	th
thai	7	0	1	1	0	0e190e490e33	NotoSansThai-Regular.ttf	ltr	49	0	3	0	0	-29	0	31.008	155.892	Thai	th
thai	7	0	1	1	0	0e190e490e33	NotoSansThai-Regular.ttf	ltr	86	0	3	406	0	0	0	31.356	155.892	Thai	th
thai	7	1	2	1	0	0e010e340e49	NotoSansThai-Regular.ttf	ltr	29	0	3	600	0	0	0	24.000	107.892	Thai	th
thai	7	1	2	1	0	0e010e340e49	NotoSansThai-Regular.ttf	ltr	92	0	3	0	0	-2	0	31.176	107.892	Thai	th
thai	7	1	2	1	0	0e010e340e49	NotoSansThai-Regular.ttf	ltr	49	0	3	0	0	-2	-59	31.176	107.184	Thai	th
thai	7	2	3	1	0	00410020	NotoSans-Regular.ttf	ltr	36	0	1	639	0	0	0	24.000	59.196	Latn	en
thai	7	2	3	1	0	00410020	NotoSans-Regular.ttf	ltr	3	1	2	260	0	0	0	31.668	59.196	Latn	en
thai	7	2	3	2	2	0e010e340e49	NotoSansThai-Regular.ttf	ltr	29	2	5	600	0	0	0	34.788	59.196	Thai	th
thai	7	2	3	2	2	0e010e340e49	NotoSansThai-Regular.ttf	ltr	92	2	5	0	0	-2	0	41.964	59.196	Thai	th
thai	7	2	3	2	2	0e010e340e49	NotoSansThai-Regular.ttf	ltr	49	2	5	0	0	-2	-59	41.964	58.488	Thai	th
thai	7	2	3	3	5	00200042	NotoSans-Regular.ttf	ltr	3	5	6	260	0	0	0	41.988	59.196	Latn	en
thai	7	2	3	3	5	00200042	NotoSans-Regular.ttf	ltr	37	6	7	650	0	0	0	45.108	59.196	Latn	en
thai	8	3	4	1	0	0e010e340e49	NotoSansThai-Regular.ttf	ltr	29	0	3	600	0	0	0	24.000	155.196	Thai	th
thai	8	3	4	1	0	0e010e340e49	NotoSansThai-Regular.ttf	ltr	92	0	3	0	0	-2	0	31.176	155.196	Thai	th
thai	8	3	4	1	0	0e010e340e49	NotoSansThai-Regular.ttf	ltr	49	0	3	0	0	-2	-59	31.176	154.488	Thai	th
thai	8	3	4	2	3	0020	NotoSans-Regular.ttf	ltr	3	3	4	260	0	0	0	31.200	155.196	Latn	en
thai	8	3	5	1	4	0e010e340e49	NotoSansThai-Regular.ttf	ltr	29	4	7	600	0	0	0	24.000	107.892	Thai	th
thai	8	3	5	1	4	0e010e340e49	NotoSansThai-Regular.ttf	ltr	92	4	7	0	0	-2	0	31.176	107.892	Thai	th
thai	8	3	5	1	4	0e010e340e49	NotoSansThai-Regular.ttf	ltr	49	4	7	0	0	-2	-59	31.176	107.184	Thai	th
thai	8	4	6	1	0	0e0100200e34	NotoSansThai-Regular.ttf	ltr	29	0	1	600	0	0	0	24.000	59.892	Thai	th
thai	8	4	6	1	0	0e0100200e34	NotoSansThai-Regular.ttf	ltr	111	1	3	260	0	0	0	31.200	59.892	Thai	th
thai	8	4	6	1	0	0e0100200e34	NotoSansThai-Regular.ttf	ltr	92	1	3	0	0	0	0	34.320	59.892	Thai	th
